INFO  - 2013-07-30 17:38:45.553; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-07-30 17:38:45.553; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.553; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-07-30 17:38:45.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-07-30 17:38:45.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-07-30 17:38:45.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2013-07-30 17:38:45.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2013-07-30 17:38:45.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.559; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/dist/solr-cell-4.4.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/attributes-binder-1.0.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/carrot2-mini-3.6.2.jar' to classloader
INFO  - 2013-07-30 17:38:45.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-07-30 17:38:45.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-07-30 17:38:45.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-07-30 17:38:45.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/simple-xml-2.6.4.jar' to classloader
INFO  - 2013-07-30 17:38:45.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/dist/solr-clustering-4.4.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-07-30 17:38:45.564; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-07-30 17:38:45.564; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/dist/solr-langid-4.4.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.565; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.565; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-07-30 17:38:45.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.598; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/dist/solr-velocity-4.4.0.jar' to classloader
INFO  - 2013-07-30 17:38:46.116; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-07-30 17:38:46.133; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_44
INFO  - 2013-07-30 17:38:46.255; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-07-30 17:38:46.261; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-07-30 17:38:46.343; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-07-30 17:38:46.942; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-07-30 17:38:47.017; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-07-30 17:38:47.025; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-07-30 17:38:47.163; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-07-30 17:38:47.175; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/, dataDir=/Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/data/
INFO  - 2013-07-30 17:38:47.176; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-07-30 17:38:47.180; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-07-30 17:38:47.180; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-07-30 17:38:47.192; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/data
INFO  - 2013-07-30 17:38:47.192; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/data/index/
WARN  - 2013-07-30 17:38:47.192; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-07-30 17:38:47.198; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/data/index
INFO  - 2013-07-30 17:38:47.245; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@5dedb45; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-07-30 17:38:47.245; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-07-30 17:38:47.250; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-07-30 17:38:47.250; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-07-30 17:38:47.250; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-07-30 17:38:47.255; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-07-30 17:38:47.255; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-07-30 17:38:47.335; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.335; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.336; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-07-30 17:38:47.337; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.339; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-07-30 17:38:47.341; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2013-07-30 17:38:47.342; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-07-30 17:38:47.342; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-07-30 17:38:47.343; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-07-30 17:38:47.343; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-07-30 17:38:47.343; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-07-30 17:38:47.343; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-07-30 17:38:47.343; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-07-30 17:38:47.345; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-07-30 17:38:47.347; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-07-30 17:38:47.348; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-07-30 17:38:47.356; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
